# t X Y Z X_set Y_set Z_set
48.230000 17.892704 21.941158 2.955749 0.000000 0.000000 3.000000
48.231000 17.887840 21.941153 2.955755 0.000000 0.000000 3.000000
48.232000 17.882977 21.941145 2.955760 0.000000 0.000000 3.000000
48.233000 17.878113 21.941139 2.955766 0.000000 0.000000 3.000000
48.234000 17.873249 21.941132 2.955771 0.000000 0.000000 3.000000
48.235000 17.868385 21.941126 2.955777 0.000000 0.000000 3.000000
48.236000 17.863522 21.941118 2.955782 0.000000 0.000000 3.000000
48.237000 17.858660 21.941111 2.955788 0.000000 0.000000 3.000000
48.238000 17.853796 21.941105 2.955793 0.000000 0.000000 3.000000
48.239000 17.848934 21.941097 2.955799 0.000000 0.000000 3.000000
48.240000 17.844072 21.941092 2.955804 0.000000 0.000000 3.000000
48.241000 17.839211 21.941084 2.955810 0.000000 0.000000 3.000000
48.242000 17.834349 21.941078 2.955815 0.000000 0.000000 3.000000
48.243000 17.829489 21.941071 2.955821 0.000000 0.000000 3.000000
48.244000 17.824627 21.941063 2.955827 0.000000 0.000000 3.000000
48.245000 17.819767 21.941057 2.955832 0.000000 0.000000 3.000000
48.246000 17.814907 21.941050 2.955838 0.000000 0.000000 3.000000
48.247000 17.810047 21.941044 2.955843 0.000000 0.000000 3.000000
48.248000 17.805187 21.941036 2.955849 0.000000 0.000000 3.000000
48.249000 17.800329 21.941029 2.955855 0.000000 0.000000 3.000000
48.250000 17.795469 21.941023 2.955860 0.000000 0.000000 3.000000
48.251000 17.790611 21.941015 2.955866 0.000000 0.000000 3.000000
48.252000 17.785753 21.941008 2.955872 0.000000 0.000000 3.000000
48.253000 17.780895 21.941002 2.955878 0.000000 0.000000 3.000000
48.254000 17.776037 21.940994 2.955883 0.000000 0.000000 3.000000
48.255000 17.771181 21.940987 2.955889 0.000000 0.000000 3.000000
48.256000 17.766323 21.940981 2.955895 0.000000 0.000000 3.000000
48.257000 17.761467 21.940973 2.955900 0.000000 0.000000 3.000000
48.258000 17.756611 21.940966 2.955906 0.000000 0.000000 3.000000
48.259000 17.751755 21.940958 2.955912 0.000000 0.000000 3.000000
48.260000 17.746901 21.940952 2.955918 0.000000 0.000000 3.000000
48.261000 17.742044 21.940945 2.955924 0.000000 0.000000 3.000000
48.262000 17.737190 21.940937 2.955930 0.000000 0.000000 3.000000
48.263000 17.732334 21.940931 2.955935 0.000000 0.000000 3.000000
48.264000 17.727480 21.940924 2.955941 0.000000 0.000000 3.000000
48.265000 17.722626 21.940916 2.955947 0.000000 0.000000 3.000000
48.266000 17.717773 21.940908 2.955953 0.000000 0.000000 3.000000
48.267000 17.712919 21.940903 2.955959 0.000000 0.000000 3.000000
48.268000 17.708067 21.940895 2.955965 0.000000 0.000000 3.000000
48.269000 17.703215 21.940887 2.955971 0.000000 0.000000 3.000000
48.270000 17.698362 21.940880 2.955977 0.000000 0.000000 3.000000
48.271000 17.693510 21.940874 2.955983 0.000000 0.000000 3.000000
48.272000 17.688658 21.940866 2.955989 0.000000 0.000000 3.000000
48.273000 17.683807 21.940859 2.955995 0.000000 0.000000 3.000000
48.274000 17.678957 21.940851 2.956001 0.000000 0.000000 3.000000
48.275000 17.674105 21.940844 2.956007 0.000000 0.000000 3.000000
48.276000 17.669254 21.940838 2.956013 0.000000 0.000000 3.000000
48.277000 17.664406 21.940830 2.956019 0.000000 0.000000 3.000000
48.278000 17.659555 21.940823 2.956025 0.000000 0.000000 3.000000
48.279000 17.654707 21.940815 2.956031 0.000000 0.000000 3.000000
48.280000 17.649857 21.940807 2.956037 0.000000 0.000000 3.000000
48.281000 17.645008 21.940800 2.956043 0.000000 0.000000 3.000000
48.282000 17.640160 21.940794 2.956049 0.000000 0.000000 3.000000
48.283000 17.635313 21.940786 2.956055 0.000000 0.000000 3.000000
48.284000 17.630465 21.940779 2.956061 0.000000 0.000000 3.000000
48.285000 17.625618 21.940771 2.956068 0.000000 0.000000 3.000000
48.286000 17.620770 21.940763 2.956074 0.000000 0.000000 3.000000
48.287000 17.615923 21.940756 2.956080 0.000000 0.000000 3.000000
48.288000 17.611076 21.940748 2.956086 0.000000 0.000000 3.000000
48.289000 17.606232 21.940742 2.956092 0.000000 0.000000 3.000000
48.290000 17.601385 21.940735 2.956098 0.000000 0.000000 3.000000
48.291000 17.596540 21.940727 2.956104 0.000000 0.000000 3.000000
48.292000 17.591696 21.940720 2.956110 0.000000 0.000000 3.000000
48.293000 17.586851 21.940712 2.956116 0.000000 0.000000 3.000000
48.294000 17.582006 21.940704 2.956122 0.000000 0.000000 3.000000
48.295000 17.577162 21.940697 2.956128 0.000000 0.000000 3.000000
48.296000 17.572319 21.940689 2.956135 0.000000 0.000000 3.000000
48.297000 17.567474 21.940681 2.956141 0.000000 0.000000 3.000000
48.298000 17.562632 21.940674 2.956147 0.000000 0.000000 3.000000
48.299000 17.557789 21.940666 2.956153 0.000000 0.000000 3.000000
48.300000 17.552946 21.940659 2.956159 0.000000 0.000000 3.000000
48.301000 17.548105 21.940651 2.956165 0.000000 0.000000 3.000000
48.302000 17.543262 21.940643 2.956171 0.000000 0.000000 3.000000
48.303000 17.538422 21.940636 2.956177 0.000000 0.000000 3.000000
48.304000 17.533581 21.940628 2.956184 0.000000 0.000000 3.000000
48.305000 17.528740 21.940620 2.956190 0.000000 0.000000 3.000000
48.306000 17.523899 21.940613 2.956196 0.000000 0.000000 3.000000
48.307000 17.519060 21.940605 2.956202 0.000000 0.000000 3.000000
48.308000 17.514219 21.940598 2.956208 0.000000 0.000000 3.000000
48.309000 17.509380 21.940590 2.956215 0.000000 0.000000 3.000000
48.310000 17.504541 21.940582 2.956221 0.000000 0.000000 3.000000
48.311000 17.499702 21.940575 2.956227 0.000000 0.000000 3.000000
48.312000 17.494865 21.940567 2.956233 0.000000 0.000000 3.000000
48.313000 17.490026 21.940559 2.956240 0.000000 0.000000 3.000000
48.314000 17.485189 21.940550 2.956246 0.000000 0.000000 3.000000
48.315000 17.480352 21.940542 2.956252 0.000000 0.000000 3.000000
48.316000 17.475515 21.940535 2.956258 0.000000 0.000000 3.000000
48.317000 17.470678 21.940527 2.956264 0.000000 0.000000 3.000000
48.318000 17.465843 21.940519 2.956271 0.000000 0.000000 3.000000
48.319000 17.461006 21.940512 2.956277 0.000000 0.000000 3.000000
